Sno,Membership_No,Name,Email,Contact_No,Status,Balance,Other_Details
54,1054,Member 54,member54@gmail.com,3469201484,DEACTIVATED,0,Payment overdue
55,1055,Member 55,member55@gmail.com,3777087817,ACTIVE,85.99,Payment overdue
56,1056,Member 56,member56@gmail.com,3198234721,ACTIVE,-46.58,Payment overdue
57,1057,Member 57,member57@gmail.com,3250063638,ACTIVE,3023.75,Renewal due
58,1058,Member 58,member58@gmail.com,3895873972,ACTIVE,4929.09,
59,1059,Member 59,member59@gmail.com,3058798608,ACTIVE,2555.89,
60,1060,Member 60,member60@gmail.com,3628684218,ACTIVE,-303.66,Payment overdue
61,1061,Member 61,member61@gmail.com,3605986465,ACTIVE,3524.21,
62,1062,Member 62,member62@gmail.com,3445836408,ACTIVE,1448.74,Renewal due
63,1063,Member 63,member63@gmail.com,3915175576,ACTIVE,4288.99,Payment overdue
64,1064,Member 64,member64@gmail.com,3454782283,ACTIVE,561.47,Payment overdue
65,1065,Member 65,member65@gmail.com,3060449686,ACTIVE,1579.03,
66,1066,Member 66,member66@gmail.com,3481498876,ACTIVE,1841.94,
67,1067,Member 67,member67@gmail.com,3814515068,INACTIVE,2877.44,Renewal due
68,1068,Member 68,member68@gmail.com,3674126910,INACTIVE,1758.78,
69,1069,Member 69,member69@gmail.com,3664488795,ACTIVE,785.13,
70,1070,Member 70,member70@gmail.com,3887540163,INACTIVE,99999.91,
71,1071,Member 71,member71@gmail.com,3681136046,INACTIVE,2358.22,Payment overdue
72,1072,Member 72,member72@gmail.com,3060775093,ACTIVE,358.01,Renewal due
73,1073,Member 73,member73@gmail.com,3186747275,ACTIVE,3786.29,Payment overdue
74,1074,Member 74,member74@gmail.com,3085311993,ACTIVE,895,
75,1075,Member 75,member75@gmail.com,3557933473,INACTIVE,2421.66,
76,1076,Member 76,member76@gmail.com,3114298408,ACTIVE,4355.27,
77,1077,Member 77,member77@gmail.com,3346221253,INACTIVE,2831.27,Renewal due
78,1078,Member 78,member78@gmail.com,3086523182,ACTIVE,4885.7,Payment overdue
79,1079,Member 79,member79@gmail.com,3809053681,ACTIVE,696.59,
80,1080,Member 80,member80@gmail.com,3112385718,ACTIVE,1670.74,
81,1081,Member 81,member81@gmail.com,3968529666,ACTIVE,2851.95,
82,1082,Member 82,member82@gmail.com,3100473923,ACTIVE,1283.85,Renewal due
83,1083,Member 83,member83@gmail.com,3672911719,ACTIVE,776.53,
84,1084,Member 84,member84@gmail.com,3007090721,ACTIVE,2242.02,
85,1085,Member 85,member85@gmail.com,3632329024,INACTIVE,349.64,Payment overdue
86,1086,Member 86,member86@gmail.com,3171317483,ACTIVE,4692,
87,1087,Member 87,member87@gmail.com,3980572512,ACTIVE,2902.3,Renewal due
88,1088,Member 88,member88@gmail.com,3407457141,INACTIVE,2543.07,
89,1089,Member 89,member89@gmail.com,3078141258,ACTIVE,3280.04,
90,1090,Member 90,member90@gmail.com,3224926919,ACTIVE,246.59,
91,1091,Member 91,member91@gmail.com,3303084343,INACTIVE,2787.91,
92,1092,Member 92,member92@gmail.com,3833807700,ACTIVE,2551.61,Renewal due
93,1093,Member 93,member93@gmail.com,3334830960,ACTIVE,4597.48,Payment overdue
94,1094,Member 94,member94@gmail.com,3909960807,ACTIVE,1199.13,
95,1095,Member 95,member95@gmail.com,3527579867,ACTIVE,4561.49,
96,1096,Member 96,member96@gmail.com,3960147393,INACTIVE,1634.16,Payment overdue
97,1097,Member 97,member97@gmail.com,3517966119,ACTIVE,2789.77,Renewal due
98,1098,Member 98,member98@gmail.com,3002356807,ACTIVE,839.01,Payment overdue
99,1099,Member 99,member99@gmail.com,3326885018,INACTIVE,-370.77,
100,1100,Member 100,member100@gmail.com,3849061504,ACTIVE,2438.66,
101,1101,Member 101,member101@gmail.com,3202281196,ACTIVE,1787.28,
102,1102,Member 102,member102@gmail.com,3920973241,ACTIVE,4080.11,Renewal due
103,1103,Member 103,member103@gmail.com,3314597588,ACTIVE,1717.42,Payment overdue
104,1104,Member 104,member104@gmail.com,3048890130,ACTIVE,3966.79,
105,1105,Member 105,member105@gmail.com,3175744626,INACTIVE,2218.51,
106,1106,Member 106,member106@gmail.com,3090632807,ACTIVE,-135.51,Payment overdue
107,1107,Member 107,member107@gmail.com,3267834761,INACTIVE,872.91,Renewal due
108,1108,Member 108,member108@gmail.com,3494312187,ACTIVE,35.82,
109,1109,Member 109,member109@gmail.com,3409002657,ACTIVE,2863.62,
110,1110,Member 110,member110@gmail.com,3341762505,INACTIVE,3423.06,
111,1111,Member 111,member111@gmail.com,3790406573,ACTIVE,-172.07,
112,1112,Member 112,member112@gmail.com,3779049911,ACTIVE,2781.44,Renewal due
113,1113,Member 113,member113@gmail.com,3208224044,ACTIVE,320.67,Payment overdue
114,1114,Member 114,member114@gmail.com,3890504172,ACTIVE,966.69,
115,1115,Member 115,member115@gmail.com,3033866445,ACTIVE,1583.39,
116,1116,Member 116,member116@gmail.com,3883179616,ACTIVE,3273.95,
117,1117,Member 117,member117@gmail.com,3151085773,ACTIVE,4378.97,Renewal due
118,1118,Member 118,member118@gmail.com,3382737991,ACTIVE,4302.15,
119,1119,Member 119,member119@gmail.com,3972140112,ACTIVE,1479.18,
120,1120,Member 120,member120@gmail.com,3552405526,INACTIVE,3923.33,
121,1121,Member 121,member121@gmail.com,3365133374,ACTIVE,-0.31,
122,1122,Member 122,member122@gmail.com,3217503712,ACTIVE,-70.59,Renewal due
123,1123,Member 123,member123@gmail.com,3031183403,INACTIVE,3407.81,
124,1124,Member 124,member124@gmail.com,3154095905,ACTIVE,1806.98,
125,1125,Member 125,member125@gmail.com,3127466728,INACTIVE,2243.99,Payment overdue
126,1126,Member 126,member126@gmail.com,3388172835,ACTIVE,3403.91,
127,1127,Member 127,member127@gmail.com,3672958128,ACTIVE,1230.43,Renewal due
128,1128,Member 128,member128@gmail.com,3653661965,ACTIVE,3670.5,
129,1129,Member 129,member129@gmail.com,3076476442,ACTIVE,1355.58,Payment overdue
130,1130,Member 130,member130@gmail.com,3071943038,ACTIVE,4576.23,
131,1131,Member 131,member131@gmail.com,3067309854,ACTIVE,3513.9,Payment overdue
132,1132,Member 132,member132@gmail.com,3265262432,ACTIVE,-73.67,Renewal due
133,1133,Member 133,member133@gmail.com,3539774325,ACTIVE,-78.74,
134,1134,Member 134,member134@gmail.com,3920293201,ACTIVE,1188.29,
135,1135,Member 135,member135@gmail.com,3923529656,INACTIVE,1138.25,
136,1136,Member 136,member136@gmail.com,3354510969,ACTIVE,1340.88,
137,1137,Member 137,member137@gmail.com,3382858786,ACTIVE,2110.1,Renewal due
138,1138,Member 138,member138@gmail.com,3132647950,ACTIVE,3474.65,
139,1139,Member 139,member139@gmail.com,3377451504,ACTIVE,2306.98,
140,1140,Member 140,member140@gmail.com,3180797882,ACTIVE,301.02,Payment overdue
141,1141,Member 141,member141@gmail.com,3728568060,ACTIVE,4939.78,
142,1142,Member 142,member142@gmail.com,3593369151,ACTIVE,2564.07,Renewal due
143,1143,Member 143,member143@gmail.com,3584761985,ACTIVE,2914.3,
144,1144,Member 144,member144@gmail.com,3126756449,ACTIVE,3927.59,
145,1145,Member 145,member145@gmail.com,3841893719,INACTIVE,-39.35,
146,1146,Member 146,member146@gmail.com,3430283402,INACTIVE,2971.48,
147,1147,Member 147,member147@gmail.com,3782567487,ACTIVE,-172.54,Renewal due
148,1148,Member 148,member148@gmail.com,3183461404,ACTIVE,3291.26,
149,1149,Member 149,member149@gmail.com,3729385844,ACTIVE,3239.57,Payment overdue
150,1150,Member 150,member150@gmail.com,3079205673,ACTIVE,140.2,
151,1151,Member 151,member151@gmail.com,3166532476,ACTIVE,131.3,
152,1152,Member 152,member152@gmail.com,3029907935,ACTIVE,2627.73,Renewal due
153,1153,Member 153,member153@gmail.com,3221459915,ACTIVE,4798.9,
154,1154,Member 154,member154@gmail.com,3951164731,ACTIVE,4374.41,Payment overdue
155,1155,Member 155,member155@gmail.com,3418666118,ACTIVE,4478.36,
156,1156,Member 156,member156@gmail.com,3191384028,ACTIVE,722.99,
157,1157,Member 157,member157@gmail.com,3255497844,ACTIVE,3825.63,Renewal due
158,1158,Member 158,member158@gmail.com,3613306026,ACTIVE,2093.41,
159,1159,Member 159,member159@gmail.com,3895834851,ACTIVE,4840.77,Payment overdue
160,1160,Member 160,member160@gmail.com,3776175156,ACTIVE,625.76,
161,1161,Member 161,member161@gmail.com,3625587520,INACTIVE,4809.42,
162,1162,Member 162,member162@gmail.com,3651595729,ACTIVE,2591.2,Renewal due
163,1163,Member 163,member163@gmail.com,3383965852,ACTIVE,2923.11,Payment overdue
164,1164,Member 164,member164@gmail.com,3046867343,ACTIVE,4492.9,
165,1165,Member 165,member165@gmail.com,3549823426,INACTIVE,781.27,
166,1166,Member 166,member166@gmail.com,3299014758,ACTIVE,-327.98,
167,1167,Member 167,member167@gmail.com,3545598515,ACTIVE,1476.67,Renewal due
168,1168,Member 168,member168@gmail.com,3733379393,ACTIVE,3715.08,
169,1169,Member 169,member169@gmail.com,3009704729,ACTIVE,1331.63,Payment overdue
170,1170,Member 170,member170@gmail.com,3696740302,ACTIVE,1754.48,Payment overdue
171,1171,Member 171,member171@gmail.com,3737472100,ACTIVE,2247.58,
172,1172,Member 172,member172@gmail.com,3687028302,ACTIVE,1812.16,Renewal due
173,1173,Member 173,member173@gmail.com,3183946266,ACTIVE,1247.8,
174,1174,Member 174,member174@gmail.com,3902407565,ACTIVE,580.2,
175,1175,Member 175,member175@gmail.com,3002228617,ACTIVE,2507.93,
176,1176,Member 176,member176@gmail.com,3088992725,ACTIVE,642.39,Payment overdue
177,1177,Member 177,member177@gmail.com,3014334195,ACTIVE,438.28,Renewal due
178,1178,Member 178,member178@gmail.com,3563045953,INACTIVE,3225.74,
179,1179,Member 179,member179@gmail.com,3754407124,ACTIVE,1611.52,Payment overdue
180,1180,Member 180,member180@gmail.com,3224123926,ACTIVE,4957.4,
181,1181,Member 181,member181@gmail.com,3553891754,ACTIVE,4114.79,
182,1182,Member 182,member182@gmail.com,3178665458,ACTIVE,2373.72,Renewal due
183,1183,Member 183,member183@gmail.com,3802867412,ACTIVE,998.75,
184,1184,Member 184,member184@gmail.com,3842874639,ACTIVE,4325.5,
185,1185,Member 185,member185@gmail.com,3376400120,ACTIVE,-410.19,
186,1186,Member 186,member186@gmail.com,3143704906,ACTIVE,2763.86,
187,1187,Member 187,member187@gmail.com,3052548588,ACTIVE,4263.44,Renewal due
188,1188,Member 188,member188@gmail.com,3040059097,ACTIVE,2628.79,
189,1189,Member 189,member189@gmail.com,3326462318,ACTIVE,2889.06,
190,1190,Member 190,member190@gmail.com,3697260535,ACTIVE,3579.86,
191,1191,Member 191,member191@gmail.com,3034185386,ACTIVE,1931.29,
192,1192,Member 192,member192@gmail.com,3912964928,INACTIVE,3863.94,Renewal due
193,1193,Member 193,member193@gmail.com,3537484042,ACTIVE,2597.16,
